week,weather_condition,daily_average_ride_count
2023-08-28/2023-09-03,Cloudy,746.2970096315273
2023-08-28/2023-09-03,Rainy,871.8918367346939
2023-08-28/2023-09-03,Sunny,932.0396570959731
2023-09-04/2023-09-10,Cloudy,937.7614271053836
2023-09-04/2023-09-10,Rainy,861.0387700549999
2023-09-04/2023-09-10,Sunny,1081.234939798352
2023-09-11/2023-09-17,Cloudy,1130.8734719785054
2023-09-11/2023-09-17,Rainy,1030.117942117942
2023-09-11/2023-09-17,Sunny,1221.4136271015948
2023-09-18/2023-09-24,Cloudy,1038.4852681508369
2023-09-18/2023-09-24,Rainy,336.0637147559811
2023-09-18/2023-09-24,Sunny,1296.7712471474538
2023-09-25/2023-10-01,Cloudy,768.8616283712657
2023-09-25/2023-10-01,Rainy,617.4919420068884
2023-09-25/2023-10-01,Sunny,1114.070875610992
2023-10-02/2023-10-08,Cloudy,852.0372839136422
2023-10-02/2023-10-08,Rainy,768.2536322763256
2023-10-02/2023-10-08,Sunny,1180.2496527111555
2023-10-09/2023-10-15,Cloudy,861.0351988483555
2023-10-09/2023-10-15,Rainy,452.00432105923943
2023-10-09/2023-10-15,Sunny,1103.3208203984736
2023-10-16/2023-10-22,Cloudy,851.0281650901121
2023-10-16/2023-10-22,Rainy,1015.8696885713799
2023-10-16/2023-10-22,Sunny,1027.6968293795521
2023-10-23/2023-10-29,Cloudy,979.2638514237213
2023-10-23/2023-10-29,Rainy,311.2017648461721
2023-10-23/2023-10-29,Sunny,1147.2670671084384
2023-10-30/2023-11-05,Cloudy,939.0236158346578
2023-10-30/2023-11-05,Rainy,733.6498756599822
2023-10-30/2023-11-05,Sunny,907.9308369454077
2023-11-06/2023-11-12,Cloudy,906.0375034132695
2023-11-06/2023-11-12,Rainy,1111.9321739937263
2023-11-06/2023-11-12,Sunny,750.239140125279
2023-11-13/2023-11-19,Cloudy,922.2391291563262
2023-11-13/2023-11-19,Rainy,818.939352919868
2023-11-13/2023-11-19,Sunny,841.648531964577
2023-11-20/2023-11-26,Cloudy,520.518734610686
2023-11-20/2023-11-26,Rainy,471.8149914782151
2023-11-20/2023-11-26,Sunny,556.4984989044723
2023-11-27/2023-12-03,Cloudy,679.0075163058399
2023-11-27/2023-12-03,Normal,615.1428571428571
2023-11-27/2023-12-03,Rainy,471.14040380598743
2023-11-27/2023-12-03,Sunny,728.3689139001093
