time,temperature_2m (°C),precipitation (mm),rain (mm),cloudcover (%),cloudcover_low (%),cloudcover_mid (%),cloudcover_high (%),windspeed_10m (km/h),winddirection_10m (°)
2023-01-01T00:00,8.8,0.40,0.40,100,100,100,100,11.3,207
2023-01-01T01:00,11.0,1.10,1.10,100,100,100,100,10.4,214
2023-01-01T02:00,11.0,0.80,0.80,100,78,100,100,9.3,242
2023-01-01T03:00,11.0,1.90,1.90,100,99,100,100,11.5,226
2023-01-01T04:00,10.8,1.00,1.00,100,67,100,100,11.3,239
2023-01-01T05:00,10.5,1.00,1.00,99,2,100,99,7.4,256
2023-01-01T06:00,10.5,0.10,0.10,99,3,76,0,13.1,249
2023-01-01T07:00,10.4,0.00,0.00,96,0,3,0,16.0,262
2023-01-01T08:00,9.7,0.00,0.00,56,0,0,0,16.0,279
2023-01-01T09:00,9.1,0.00,0.00,43,8,0,57,15.8,297
2023-01-01T10:00,8.6,0.00,0.00,45,21,0,64,15.9,308
2023-01-01T11:00,7.8,0.00,0.00,58,51,6,13,13.2,287
2023-01-01T12:00,6.7,0.00,0.00,74,14,11,96,10.5,266
2023-01-01T13:00,7.9,0.00,0.00,56,16,6,60,11.9,267
2023-01-01T14:00,9.5,0.00,0.00,12,36,0,11,15.9,267
2023-01-01T15:00,10.5,0.00,0.00,56,61,23,50,16.1,290
2023-01-01T16:00,10.9,0.00,0.00,42,36,15,0,17.3,293
2023-01-01T17:00,11.4,0.00,0.00,21,31,18,0,16.6,300
2023-01-01T18:00,11.8,0.00,0.00,2,4,0,0,17.4,294
2023-01-01T19:00,11.9,0.00,0.00,22,1,0,0,15.9,295
2023-01-01T20:00,11.7,0.00,0.00,27,0,0,7,12.6,294
2023-01-01T21:00,10.1,0.00,0.00,1,0,1,2,6.1,298
2023-01-01T22:00,6.9,0.00,0.00,0,0,0,16,9.5,299
2023-01-01T23:00,5.3,0.00,0.00,0,0,0,0,9.4,252
2023-01-02T00:00,4.9,0.00,0.00,0,0,2,0,9.5,261
2023-01-02T01:00,6.1,0.00,0.00,3,0,5,0,11.9,267
2023-01-02T02:00,5.0,0.00,0.00,48,16,43,13,7.2,276
2023-01-02T03:00,5.8,0.00,0.00,91,84,100,88,7.0,258
2023-01-02T04:00,6.1,0.00,0.00,100,71,100,100,7.9,321
2023-01-02T05:00,6.4,0.00,0.00,88,50,0,38,5.4,266
2023-01-02T06:00,5.5,0.00,0.00,99,1,0,77,8.0,234
2023-01-02T07:00,4.5,0.00,0.00,77,1,6,98,7.7,259
2023-01-02T08:00,5.0,0.00,0.00,9,1,0,26,7.9,286
2023-01-02T09:00,4.6,0.00,0.00,38,0,8,12,8.7,300
2023-01-02T10:00,4.5,0.00,0.00,59,0,0,100,8.7,294
2023-01-02T11:00,4.5,0.00,0.00,93,0,53,97,7.7,298
2023-01-02T12:00,5.0,0.00,0.00,100,0,100,100,7.7,281
2023-01-02T13:00,5.7,0.00,0.00,100,1,100,100,6.3,301
2023-01-02T14:00,6.8,0.00,0.00,99,1,100,100,7.3,303
2023-01-02T15:00,8.3,0.00,0.00,92,0,100,95,5.8,266
2023-01-02T16:00,9.9,0.00,0.00,80,0,100,91,3.9,236
2023-01-02T17:00,11.1,0.00,0.00,61,0,90,55,2.9,240
2023-01-02T18:00,12.0,0.00,0.00,65,0,89,41,3.4,238
2023-01-02T19:00,12.6,0.00,0.00,49,0,50,0,6.0,205
2023-01-02T20:00,12.8,0.00,0.00,83,3,87,15,9.0,196
2023-01-02T21:00,11.2,0.00,0.00,96,36,100,50,6.5,177
2023-01-02T22:00,9.4,0.20,0.20,96,17,100,29,6.3,167
2023-01-02T23:00,8.4,0.00,0.00,95,8,100,9,6.0,163
2023-01-03T00:00,7.6,0.00,0.00,98,1,100,51,8.0,188
2023-01-03T01:00,8.9,0.00,0.00,100,9,100,51,6.8,212
2023-01-03T02:00,8.3,0.00,0.00,100,100,100,82,6.3,211
2023-01-03T03:00,8.5,0.30,0.30,100,100,100,99,4.5,194
2023-01-03T04:00,8.2,0.10,0.10,100,100,100,99,4.3,180
2023-01-03T05:00,8.3,0.00,0.00,100,100,72,100,5.5,157
2023-01-03T06:00,8.1,0.00,0.00,100,100,85,100,5.6,153
2023-01-03T07:00,8.1,0.00,0.00,100,100,100,100,7.4,141
2023-01-03T08:00,8.0,0.00,0.00,100,30,100,100,8.2,157
2023-01-03T09:00,7.9,0.00,0.00,100,100,100,100,5.6,135
2023-01-03T10:00,8.1,0.00,0.00,100,47,100,100,9.4,140
2023-01-03T11:00,7.5,0.00,0.00,99,7,100,100,5.4,160
2023-01-03T12:00,6.2,0.00,0.00,100,14,100,100,7.5,73
2023-01-03T13:00,7.9,0.00,0.00,100,20,100,100,6.9,96
2023-01-03T14:00,8.4,1.00,1.00,100,22,60,100,8.3,124
2023-01-03T15:00,9.2,0.20,0.20,100,10,100,100,5.5,169
2023-01-03T16:00,8.9,3.10,3.10,100,17,100,100,2.9,210
2023-01-03T17:00,8.8,2.60,2.60,100,0,100,100,7.1,135
2023-01-03T18:00,9.3,1.00,1.00,100,100,100,100,12.5,198
2023-01-03T19:00,10.2,1.10,1.10,100,100,100,100,14.1,218
2023-01-03T20:00,11.8,0.20,0.20,100,100,100,99,19.2,214
2023-01-03T21:00,12.5,0.00,0.00,100,0,96,100,19.4,222
2023-01-03T22:00,12.8,0.00,0.00,100,12,72,100,16.1,220
2023-01-03T23:00,12.7,0.00,0.00,100,8,61,100,14.5,222
2023-01-04T00:00,10.0,0.00,0.00,100,10,71,100,10.5,232
2023-01-04T01:00,11.3,0.20,0.20,100,54,96,100,10.5,218
2023-01-04T02:00,11.5,0.00,0.00,100,7,44,91,13.8,221
2023-01-04T03:00,11.7,0.00,0.00,100,4,41,100,13.2,227
2023-01-04T04:00,11.8,0.00,0.00,91,2,31,100,12.7,225
2023-01-04T05:00,11.8,0.00,0.00,100,0,43,100,13.5,222
2023-01-04T06:00,12.1,0.10,0.10,100,3,84,100,16.6,221
2023-01-04T07:00,12.3,0.00,0.00,100,51,86,100,17.3,227
2023-01-04T08:00,12.9,0.00,0.00,100,15,3,100,18.2,232
2023-01-04T09:00,12.1,0.00,0.00,100,1,4,100,13.5,245
2023-01-04T10:00,12.2,0.00,0.00,100,17,1,100,14.8,244
2023-01-04T11:00,12.4,0.00,0.00,100,1,1,100,15.9,245
2023-01-04T12:00,10.0,0.00,0.00,100,1,36,100,10.4,250
2023-01-04T13:00,11.8,0.00,0.00,97,0,26,98,9.4,268
2023-01-04T14:00,13.3,0.00,0.00,98,0,8,94,14.4,238
2023-01-04T15:00,14.9,0.00,0.00,100,0,0,100,9.8,253
2023-01-04T16:00,16.2,0.00,0.00,100,0,0,100,8.0,252
2023-01-04T17:00,17.2,0.00,0.00,100,0,0,100,8.5,216
2023-01-04T18:00,17.9,0.00,0.00,100,0,0,100,8.4,187
2023-01-04T19:00,17.2,0.00,0.00,100,9,0,100,12.7,165
2023-01-04T20:00,15.5,0.00,0.00,100,5,4,100,9.2,149
2023-01-04T21:00,14.0,0.00,0.00,100,10,100,100,8.1,111
2023-01-04T22:00,12.5,0.30,0.30,100,4,100,100,8.8,125
2023-01-04T23:00,11.7,0.70,0.70,100,17,100,100,9.6,110
2023-01-05T00:00,9.5,0.90,0.90,100,88,100,100,7.0,102
2023-01-05T01:00,11.4,0.30,0.30,99,100,25,100,5.8,94
2023-01-05T02:00,11.4,0.00,0.00,73,90,15,0,4.4,99
2023-01-05T03:00,11.2,0.00,0.00,100,100,3,0,4.0,90
2023-01-05T04:00,10.7,0.00,0.00,100,100,0,0,4.5,104
2023-01-05T05:00,10.7,0.00,0.00,100,100,6,0,3.3,131
2023-01-05T06:00,11.2,0.00,0.00,100,100,8,0,4.3,175
2023-01-05T07:00,12.6,0.00,0.00,100,100,100,0,9.6,236
2023-01-05T08:00,13.1,0.00,0.00,91,86,12,14,9.3,234
2023-01-05T09:00,12.4,0.00,0.00,89,27,1,45,10.9,253
2023-01-05T10:00,11.4,0.00,0.00,90,28,34,97,9.1,261
2023-01-05T11:00,11.0,0.00,0.00,95,0,4,100,8.6,268
2023-01-05T12:00,7.7,0.00,0.00,95,100,36,100,6.7,36
2023-01-05T13:00,8.3,0.00,0.00,100,91,7,100,12.1,63
2023-01-05T14:00,8.6,0.00,0.00,100,74,12,99,9.4,67
2023-01-05T15:00,9.2,0.00,0.00,100,100,6,47,10.1,63
2023-01-05T16:00,10.4,0.00,0.00,100,100,0,97,7.9,66
2023-01-05T17:00,11.2,0.00,0.00,100,100,71,35,7.4,39
2023-01-05T18:00,11.3,0.00,0.00,100,100,98,99,8.1,32
2023-01-05T19:00,10.5,0.00,0.00,100,100,100,98,9.9,33
2023-01-05T20:00,10.0,0.00,0.00,100,80,10,0,11.8,63
2023-01-05T21:00,9.7,0.00,0.00,100,100,90,0,9.6,77
2023-01-05T22:00,9.2,0.00,0.00,100,100,57,0,7.2,117
2023-01-05T23:00,8.8,0.00,0.00,100,100,23,0,10.7,132
2023-01-06T00:00,7.4,0.00,0.00,100,100,99,1,5.4,90
2023-01-06T01:00,8.1,0.00,0.00,100,100,0,0,6.8,72
2023-01-06T02:00,7.9,0.00,0.00,100,100,85,0,5.2,74
2023-01-06T03:00,7.9,0.00,0.00,100,100,26,0,7.2,72
2023-01-06T04:00,7.6,0.00,0.00,100,100,43,0,9.9,71
2023-01-06T05:00,7.0,0.10,0.10,100,100,100,0,10.8,64
2023-01-06T06:00,6.5,0.40,0.40,100,100,100,0,9.2,64
